Overall Rank,City,Region,Happiness Score,Emotional & Physical Well-Being Rank,Income & Employment Rank,Community & Environment Rank,Latitude,Longitude,Elevation,max_temp_mean,min_temp_mean,daylight_duration_mean,sunshine_duration_mean,uv_index_max_mean,precipitation_sum_mean,rain_sum_mean,showers_sum_mean,snowfall_sum_mean,precipitation_hours_mean,wind_speed_10m_max_mean,wind_gusts_10m_max_mean,shortwave_radiation_sum_mean
66,"Austin, TX",Southwest,57.06,47,88,126,30.27,-97.75,157.00,83.33424658,62.30520548,12.16864976,7.944662009,6.177808219,0.061509589,0.061509589,0,0,0.728767123,9.983561644,21.43041096,17.97117808
67,"Portland, OR",West,56.74,57,63,125,45.53,-122.70,13.00,64.1369863,47.72547945,12.23165291,6.7086429,4.322739726,0.075575342,0.075575342,0,0,1.923287671,9.214794521,20.24027397,14.33430137
68,"Riverside, CA",West,56.69,71,38,84,33.94,-117.40,253.00,78.79424658,54.33534247,12.18006879,8.718375837,6.215479452,0.034526027,0.034526027,0,0,0.484931507,10.8260274,17.00547945,19.28109589
69,"Moreno Valley, CA",West,56.65,81,99,23,33.941628,-117.238266,500,76.79315068,53.15479452,12.18007705,8.76933032,6.258630137,0.034134247,0.034134247,0,0,0.575342466,10.42054795,17.04547945,19.63608219
70,"Missoula, MT",West,56.44,85,37,46,46.86,-113.98,978.00,59.19506849,39.5509589,12.23986447,7.893819315,4.683972603,0.027021918,0.027021918,0,0,0.654794521,10.65589041,17.69671233,15.62
71,"Mesa, AZ",Southwest,56.21,83,83,42,33.42,-111.83,379.00,87.75780822,62.21315068,12.1783347,9.978877458,6.587671233,0.012057534,0.012057534,0,0,0.2,9.228219178,18.20136986,21.53210959
72,"Des Moines, IA",Midwest,56.13,66,113,79,41.59,-93.62,265.00,63.98712329,44.18465753,12.21071757,7.976320464,4.969041096,0.066687671,0.066687671,0,0,0.657534247,11.88,22.83890411,16.52778082
73,"Denver, CO",West,56.09,52,121,130,39.75,-104.99,"1,609.00",67.20109589,39.35643836,12.20229379,8.158966629,5.848630137,0.038046575,0.038046575,0,0,0.84109589,11.5460274,20.57041096,18.21805479
74,"Orlando, FL",Southeast,55.99,68,39,117,28.55,-81.38,35.00,84.07287671,66.23068493,12.16385561,8.752577283,6.793150685,0.168257534,0.168257534,0,0,0.731506849,11.00630137,19.94849315,18.77808219
75,"Colorado Springs, CO",West,55.75,91,45,40,38.84,-104.82,"1,832.00",65.31178082,37.78767123,12.19840826,8.620423379,6.119315068,0.044720548,0.044720548,0,0,0.780821918,14.07726027,24.49369863,19.00671233
76,"Port St. Lucie, FL",Southeast,55.5,97,71,20,27.31,-80.35,6.00,83.76849315,68.01534247,12.16057951,9.094578683,6.836986301,0.154079452,0.154079452,0,0,0.739726027,12.56246575,20.57013699,19.15320548
77,"Salt Lake City, UT",West,55.45,77,31,123,40.75,-111.91,"1,302.00",65.00410959,44.41945205,12.20676322,8.01866153,5.659863014,0.040424658,0.040424658,0,0,0.964383562,11.64958904,19.58136986,17.8459726
78,"Fontana, CA",West,55.45,95,73,21,34.10,-117.45,378.00,76.8569863,54.48739726,12.18059937,8.657634954,6.222465753,0.065624658,0.065624658,0,0,0.780821918,12.10438356,19.77671233,19.17608219
79,"Pittsburgh, PA",Northeast,55.36,88,10,91,40.45,-80.01,236.00,65.09643836,46.73726027,12.20539344,6.910979893,4.565205479,0.085380822,0.085380822,0,0,1.076712329,9.979726027,21.11424658,15.05005479
80,"St. Petersburg, FL",Southeast,55.34,78,53,90,27.78,-82.69,16.00,83.08356164,66.84438356,12.1618002,9.202316492,7.027534247,0.125956164,0.125956164,0,0,0.539726027,10.7909589,19.94027397,19.40657534
81,"Ontario, CA",West,55.24,96,62,31,34.06,-117.64,308.00,76.73616438,54.01260274,12.18048171,8.557481644,6.149589041,0.058331507,0.058331507,0,0,0.704109589,10.57424658,15.62465753,18.85071233
82,"Billings, MT",,55.09,105,35,25,45.78,-108.51,954.00,63.4,40.11671233,12.2331775,8.480338265,4.908767123,0.024739726,0.024739726,0,0,0.564383562,12.59780822,21.41506849,16.56293151
83,"Chicago, IL",,54.8,56,179,83,41.85,-87.65,179.00,60.48767123,45.43479452,12.2119783,6.746096788,4.550684932,0.081268493,0.081268493,0,0,1.44109589,12.62684932,23.96575342,14.826
84,"Miami, FL",,54.77,73,23,151,25.77,-80.20,6.00,82.8339726,71.12630137,12.15675427,8.721097184,7.138219178,0.28979726,0.28979726,0,0,0.991780822,11.58136986,18.96657534,18.61339726
85,"Grand Rapids, MI",,54.63,100,42,52,42.95,-85.68,204.00,59.7739726,43.58,12.21747132,6.853602268,4.395890411,0.077178082,0.077178082,0,0,1.394520548,10.90630137,22.70082192,15.13389041
86,"New York, NY",,54.49,63,174,73,40.71,-73.99,51.00,65.02520548,49.54958904,12.20659887,7.258560053,4.794246575,0.125131507,0.125131507,0,0,1.369863014,12.49123288,22.73260274,15.25126027
87,"Phoenix, AZ",,54.14,86,115,69,33.44,-112.06,333.00,88.23123288,64.56164384,12.17841249,10.04262861,6.576164384,0.011024658,0.011024658,0,0,0.17260274,9.133424658,17.34931507,21.57479452
88,"Manchester, NH",,53.99,99,50,75,42.98,-71.46,80.00,60.67506849,43.08849315,12.21762657,7.102854307,4.373150685,0.158980822,0.158980822,0,0,1.687671233,10.83671233,22.11205479,14.77791781
89,"Tacoma, WA",,53.96,80,123,103,47.24,-122.43,85.00,61.97342466,45.14684932,12.24232769,6.244136187,4.071917808,0.057082192,0.057082192,0,0,1.569863014,9.524109589,18.1830137,13.3550137
90,"Wilmington, DE",,53.71,126,124,5,39.76,-75.55,33.00,66.35232877,49.96931507,12.20234131,7.667005411,4.909041096,0.146860274,0.146860274,0,0,1.016438356,10.83561644,21.79534247,16.2539726
91,"Modesto, CA",,53.6,103,66,65,37.65,-121.00,29.00,76.9030137,50.29616438,12.19356842,9.320498683,5.679315068,0.042958904,0.042958904,0,0,0.6,10.71369863,19.93643836,19.34980822
92,"West Valley City, UT",,53.25,107,51,74,40.68,-112.00,"1,313.00",64.77616438,44.62,12.20646164,8.355550647,5.659863014,0.042586301,0.042586301,0,0,0.893150685,13.40493151,22.03835616,18.33553425
93,"Atlanta, GA",,53.23,76,90,143,33.76,-84.40,327.00,73.29506849,55.3890411,12.17946945,7.831690944,5.849863014,0.14220274,0.14220274,0,0,0.994520548,9.946027397,20.70986301,17.07871233
94,"Hialeah, FL",,52.91,79,132,119,25.87,-80.27,3.00,85.29589041,72.70794521,12.15697874,8.737162511,7.121917808,0.240663014,0.240663014,0,0,0.964383562,11.07616438,18.42109589,18.14756164
95,"Columbia, SC",,52.89,122,28,48,33.99,-81.04,90.00,75.75260274,55.37808219,12.18023674,8.344780205,5.837671233,0.107556164,0.107556164,0,0,0.978082192,8.999726027,18.84958904,17.89539726
96,"Cheyenne, WY",,52.63,87,24,164,41.14,-104.81,"1,866.00",60.07287671,35.95013699,12.20857208,8.29216793,5.750821918,0.047235616,0.047235616,0,0,0.676712329,16.17835616,28.1369863,17.85553425
97,"Worcester, MA",,52.58,92,41,150,42.27,-71.78,153.00,60.70027397,44.34465753,12.21401266,7.198970479,4.585753425,0.131772603,0.131772603,0,0,1.673972603,11.33753425,23.73616438,15.13306849
98,"Tallahassee, FL",,52.54,109,48,98,30.44,-84.29,69.00,79.46876712,61.03616438,12.16915008,8.473017983,6.403424658,0.149013699,0.149013699,0,0,0.895890411,10.44191781,19.75945205,18.45663014
99,"Glendale, AZ",,52.44,93,133,81,33.53,-112.18,350.00,87.61260274,62.72958904,12.17871989,10.01286187,6.53369863,0.014509589,0.014509589,0,0,0.15890411,9.408493151,18.25835616,21.51931507
100,"Vancouver, WA",,52.34,74,97,174,45.65,-122.66,55.00,63.83726027,46.67369863,12.2323503,6.49426742,4.28739726,0.070167123,0.070167123,0,0,1.84109589,10.05561644,20.56876712,13.91841096
101,"Reno, NV",,52.16,106,29,122,39.52,-119.83,"1,377.00",65.44630137,40.02657534,12.20131326,9.304796088,5.885479452,0.028561644,0.028561644,0,0,0.789041096,12.68712329,21.57041096,19.78479452
102,"Providence, RI",,52.11,118,2,170,41.83,-71.43,10.00,62.65342466,46.48356164,12.21185408,7.120177161,4.65,0.1234,0.1234,0,0,1.487671233,11.75178082,23.35589041,14.93575342
103,"Lexington-Fayette, KY",,52.01,110,120,70,38.04,-84.45,306.00,67.57479452,49.04657534,12.19513649,7.674847306,5.077808219,0.102334247,0.102334247,0,0,0.969863014,11.49917808,22.27835616,16.63958904
104,"Irving, TX",,51.93,98,111,108,32.81,-96.96,148.00,82.18958904,60.89616438,12.17637763,8.283423562,5.99109589,0.054112329,0.054112329,0,0,0.646575342,11.57972603,22.68657534,18.00808219
105,"Bridgeport, CT",,51.84,82,180,72,41.19,-73.20,11.00,63.20520548,47.5830137,12.20882845,7.28486105,4.722054795,0.104150685,0.104150685,0,0,1.328767123,11.35232877,23.58657534,15.32660274
106,"Jacksonville, FL",,51.76,115,135,51,30.32,-81.64,6.00,80.39369863,64.04657534,12.16880332,8.396784056,6.459041096,0.169232877,0.169232877,0,0,0.849315068,12.12547945,21.86849315,17.92249315
107,"Nashville, TN",,51.72,119,118,58,36.16,-86.80,158.00,73.10191781,52.95205479,12.18789321,7.663145107,5.38890411,0.119358904,0.119358904,0,0,0.890410959,9.598630137,19.65616438,16.41630137
108,"Milwaukee, WI",,51.55,89,157,101,43.04,-87.92,189.00,58.36493151,43.39123288,12.21790042,7.293405761,4.386712329,0.068542466,0.068542466,0,0,1.405479452,12.99315068,24.69643836,15.4659726
109,"Grand Prairie, TX",,51.25,112,154,55,32.76,-97.00,160.00,81.80575342,60.5509589,12.17620652,8.339095708,6.002328767,0.055369863,0.055369863,0,0,0.687671233,12.54109589,23.35863014,18.06936986
110,"Garland, TX",,50.87,113,139,82,32.92,-96.64,169.00,76.43232877,58.5430137,12.17671543,8.258036294,5.971232877,0.077915068,0.077915068,0,0,0.77260274,10.14630137,22.75260274,18.40561644
111,"Stockton, CA",,50.85,90,112,142,37.95,-121.27,5.00,75.13726027,50.25671233,12.19478221,9.152683371,5.594383562,0.044986301,0.044986301,0,0,0.646575342,10.04958904,19.80273973,19.22276712
112,"Fresno, CA",,50.75,115,80,118,36.75,-119.77,98.00,78.86246575,52.86164384,12.19011118,9.534817808,5.886164384,0.039008219,0.039008219,0,0,0.515068493,9.582191781,18.0369863,19.87638356
113,"Newport News, VA",,50.5,102,153,114,37.07,-76.47,11.00,70.86986301,53.54383562,12.19133428,8.240461248,5.376849315,0.093915068,0.093915068,0,0,0.884931507,11.06767123,22.26,17.2710411
114,"New Haven, CT",,50.47,128,49,110,41.31,-72.93,21.00,62.22520548,46.8769863,12.20936231,7.357747534,4.692465753,0.142041096,0.142041096,0,0,1.383561644,12.01013699,23.59424658,15.38912329
115,"Henderson, NV",,50.43,108,158,85,36.05,-114.98,568.00,81.94136986,57.38547945,12.1874925,9.907563006,6.081643836,0.00510137,0.00510137,0,0,0.131506849,12.74684932,21.42328767,21.03772603
116,"Las Cruces, NM",,50.19,121,75,133,32.31,-106.79,"1,192.00",81.46136986,52.28109589,12.1747876,10.20667261,6.833013699,0.004021918,0.004021918,0,0,0.101369863,12.72767123,22.97452055,22.65460274
117,"Fort Worth, TX",,49.9,117,144,105,32.73,-97.31,199.00,81.6290411,60.45013699,12.17612401,8.560320297,5.99,0.061224658,0.061224658,0,0,0.665753425,11.79287671,23.4969863,18.59761644
118,"Wichita, KS",,49.86,124,108,94,37.69,-97.34,399.00,70.92849315,49.17726027,12.19373361,8.732888775,5.579041096,0.042747945,0.042747945,0,0,0.64109589,12.82575342,25.1939726,18.40306849
119,"Warwick, RI",,49.79,84,107,181,41.71,-71.40,6.00,61.70054795,46.79369863,12.2112822,7.19105051,4.658356164,0.113287671,0.113287671,0,0,1.520547945,13.4569863,24.28630137,15.1689863
120,"Greensboro, NC",,49.25,101,96,162,36.07,-79.79,257.00,71.10821918,51.64383562,12.18756267,8.275497504,5.484383562,0.077493151,0.077493151,0,0,0.97260274,9.338630137,19.45013699,17.43490411
121,"Arlington, TX",,49.23,111,143,135,32.73,-97.12,187.00,81.00821918,61.18082192,12.17612247,8.461131781,5.991369863,0.060912329,0.060912329,0,0,0.698630137,11.74246575,24.17178082,18.31630137
122,"Fort Wayne, IN",,49.12,127,137,93,41.13,-85.12,250.00,62.18465753,44.36876712,12.20855968,7.217693668,4.624931507,0.085213699,0.085213699,0,0,1.123287671,11.26136986,22.37123288,15.67726027
123,"Bakersfield, CA",,48.92,131,129,96,35.38,-119.01,124.00,80.43589041,54.55972603,12.1850419,9.677597215,6.120410959,0.024679452,0.024679452,0,0,0.383561644,9.418356164,15.52246575,20.33783562
124,"Spokane, WA",,48.88,134,8,145,47.67,-117.43,520.00,63.10520548,42.24191781,12.24516947,7.578450944,4.315753425,0.020172603,0.020172603,0,0,0.789041096,8.610684932,15.99232877,15.20183562
125,"Winston-Salem, NC",,48.84,123,98,132,36.09,-80.26,287.00,70.63178082,50.81424658,12.18763001,8.234509878,5.268630137,0.086882192,0.086882192,0,0,0.975342466,8.930684932,18.89178082,17.50123288
126,"Newark, NJ",,48.82,104,175,120,40.74,-74.17,14.00,65.72520548,49.45479452,12.20675432,7.264901773,4.756575342,0.121317808,0.121317808,0,0,1.416438356,11.39178082,21.88684932,15.36150685
127,"San Bernardino, CA",,48.43,138,79,97,34.11,-116.88,"3,223.00",42.88,27.98849315,12.18066059,9.71906497,6.448356164,0.138547945,0.138547945,0,0,0.936986301,16.3290411,26.75315068,22.39769863
128,"Kansas City, MO",,48.39,125,131,129,39.11,-94.59,280.00,68.87671233,48.78465753,12.19955171,7.961194559,5.314520548,0.084284932,0.084284932,0,0,0.947945205,10.93205479,22.84219178,16.77345205
